episode,reward,task_energy,transmission_energy,movement_energy,steps,uav_0_delay,uav_1_delay
248,-19.0273,34.4133,2.7773,72261.8998,20,47.668953,21.544141
249,-18.9113,34.5254,2.6918,72119.1736,20,46.503496,21.709118
250,-19.1842,34.829,2.7722,71669.2647,20,35.555366,33.990513
251,-19.59,34.9042,2.9946,71517.8498,20,47.767797,24.375236
252,-19.4821,34.89,2.957,71604.5787,20,48.086487,23.291857
253,-19.1656,34.6155,2.8138,71337.2109,20,47.607578,22.177198
254,-19.0188,34.4705,2.755,71479.5407,20,49.398555,19.669074
255,-19.0458,34.4402,2.7733,71590.2526,20,48.82585,20.488582
256,-18.9661,34.2402,2.7617,71674.1474,20,47.985165,21.172898
257,-18.9667,34.3633,2.6886,71525.1702,20,42.323202,26.749015
258,-19.1026,34.4543,2.719,71502.4405,20,42.676207,27.23172
259,-19.0039,34.4405,2.6951,71541.6546,20,41.668498,27.512661
260,-18.998,34.5045,2.6811,71661.6173,20,42.715963,26.30185
261,-19.0032,34.4918,2.6953,71530.9456,20,43.040935,26.011139
262,-18.9495,34.3982,2.6943,71503.2647,20,42.46102,26.368135
263,-18.9077,34.2683,2.6798,71660.0216,20,42.794047,26.037052
264,-18.9781,34.2917,2.6994,71549.3243,20,43.967449,25.341448
265,-19.2173,34.6549,2.7431,71511.9522,20,44.515315,25.805366
266,-19.127,34.5635,2.7103,71530.2394,20,43.090633,26.784116
267,-19.116,34.4923,2.7761,71595.4378,20,38.533179,31.236779
268,-19.1482,34.6367,2.7187,71696.4597,20,42.522438,27.331818
269,-19.2033,34.7108,2.7387,71718.5188,20,43.299766,26.782112
270,-19.2087,34.6635,2.7494,71739.8192,20,43.877147,26.33325
271,-19.1335,34.66,2.7336,71831.0165,20,43.169855,26.463863
272,-19.1644,34.6969,2.7089,71748.5692,20,44.641085,25.231347
273,-19.0467,34.5488,2.7058,71651.4796,20,43.464402,25.786269
274,-19.1447,34.7038,2.7346,71695.2819,20,43.076686,26.542962
275,-19.2061,34.7191,2.7319,71594.9359,20,43.832866,26.271915
276,-19.119,34.6301,2.713,71601.0802,20,43.470234,26.171428
277,-19.2445,34.8019,2.7612,71475.6439,20,44.883115,25.263073
278,-19.276,34.8157,2.7388,71452.477,20,44.156912,26.282374
279,-19.2202,34.7144,2.7156,71471.4441,20,43.373571,26.905581
280,-19.2175,34.3354,2.8197,71749.4576,20,41.935758,28.936707
281,-19.0253,34.3998,2.7044,71591.3583,20,42.171609,27.260335
282,-19.2055,34.5712,2.7473,71741.2286,20,43.53475,26.875792
283,-19.0182,34.5257,2.686,71703.4504,20,43.084329,26.038309
284,-19.2315,34.6076,2.789,71829.4494,20,42.375602,28.049618
285,-18.9513,34.2943,2.7191,71750.0772,20,42.663955,26.359921
286,-19.1995,34.6824,2.7617,71552.8334,20,43.595648,26.458687
287,-19.0842,34.4194,2.7468,71635.7068,20,42.027176,27.73286
288,-19.3356,34.7824,2.8562,71576.6357,20,39.802794,30.887937
289,-19.9231,35.6291,3.066,71590.3948,20,37.178195,35.819662
290,-20.252,35.998,3.1247,71666.7152,20,37.611682,37.092398
291,-19.785,35.3828,2.9647,71702.5724,20,39.249069,33.464349
292,-19.4045,34.9384,2.7794,71741.1763,20,44.942492,26.166143
293,-19.0971,34.6662,2.7117,71584.8001,20,42.700685,26.674648
294,-19.1383,34.447,2.7934,71414.1443,20,42.486179,27.530446
295,-19.0917,34.5365,2.6964,71433.8015,20,44.876788,24.806185
296,-18.9244,34.7797,2.7502,71428.6684,20,48.230745,19.319857
297,-19.2966,34.6822,2.8448,71373.9868,20,54.205406,16.430478
298,-19.3032,34.6883,2.9319,71435.5203,20,53.346037,17.087176
299,-19.5174,34.7109,2.885,71516.5565,20,52.281162,20.021923
